"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"9127964Z9","Bill","119-Day","12/29/2020","12/31/2020","04/29/2021","99.968597","None",""
"912796A90","Bill","52-Week","12/29/2020","12/31/2020","12/30/2021","99.888778","None",""
"91282CBB6","Note","7-Year","12/29/2020","12/31/2020","12/31/2027","99.747318","Semi-Annual","0.625%"
"9127964P1","Bill","13-Week","12/28/2020","12/31/2020","04/01/2021","99.975986","None",""
"912796B40","Bill","26-Week","12/28/2020","12/31/2020","07/01/2021","99.949444","None",""
"91282CBD2","Note","2-Year","12/28/2020","12/31/2020","12/31/2022","99.976041","Semi-Annual","0.125%"
"91282CBC4","Note","5-Year","12/28/2020","12/31/2020","12/31/2025","99.906021","Semi-Annual","0.375%"
"912796A82","Bill","4-Week","12/24/2020","12/29/2020","01/26/2021","99.993778","None",""
"912796B99","Bill","8-Week","12/24/2020","12/29/2020","02/23/2021","99.986000","None",""
"912796D89","Bill","105-Day","12/23/2020","12/29/2020","04/13/2021","99.973750","None",""
"912796G37","Bill","154-Day","12/23/2020","12/29/2020","06/01/2021","99.959361","None",""
"91282CAS0","Note","1-Year 10-Month","12/23/2020","12/28/2020","10/31/2022","99.990678","Quarterly",""
"91282CAQ4","Note","4-Year 10-Month","12/22/2020","12/31/2020","10/15/2025","108.871082","Semi-Annual","0.125%"
"9127963W7","Bill","42-Day","12/22/2020","12/24/2020","02/04/2021","99.990667","None",""
"9127962Q1","Bill","119-Day","12/22/2020","12/24/2020","04/22/2021","99.970250","None",""
"912810ST6","Bond","19-Year 11-Month","12/21/2020","12/31/2020","11/15/2040","98.367014","Semi-Annual","1.375%"
"9127962F5","Bill","13-Week","12/21/2020","12/24/2020","03/25/2021","99.977250","None",""
"912796B32","Bill","26-Week","12/21/2020","12/24/2020","06/24/2021","99.954500","None",""
"912796A74","Bill","4-Week","12/17/2020","12/22/2020","01/19/2021","99.994167","None",""
"912796B81","Bill","8-Week","12/17/2020","12/22/2020","02/16/2021","99.987556","None",""
"9127965F2","Bill","8-Day","12/17/2020","12/21/2020","12/29/2020","99.998667","None",""
"912796D71","Bill","105-Day","12/16/2020","12/22/2020","04/06/2021","99.975208","None",""
"912796G29","Bill","154-Day","12/16/2020","12/22/2020","05/25/2021","99.961500","None",""
"912796UC1","Bill","42-Day","12/15/2020","12/17/2020","01/28/2021","99.991250","None",""
"9127964Y2","Bill","119-Day","12/15/2020","12/17/2020","04/15/2021","99.971903","None",""
"9127964N6","Bill","13-Week","12/14/2020","12/17/2020","03/18/2021","99.981042","None",""
"9127963H0","Bill","26-Week","12/14/2020","12/17/2020","06/17/2021","99.957028","None",""
"912796A66","Bill","4-Week","12/10/2020","12/15/2020","01/12/2021","99.994944","None",""
"912796B73","Bill","8-Week","12/10/2020","12/15/2020","02/09/2021","99.988333","None",""
"912810SS8","Bond","29-Year 11-Month","12/10/2020","12/15/2020","11/15/2050","99.059547","Semi-Annual","1.625%"
"912796D22","Bill","105-Day","12/09/2020","12/15/2020","03/30/2021","99.975208","None",""
"912796F95","Bill","154-Day","12/09/2020","12/15/2020","05/18/2021","99.961500","None",""
"91282CAV3","Note","9-Year 11-Month","12/09/2020","12/15/2020","11/15/2030","99.282076","Semi-Annual","0.875%"
"91282CBA8","Note","3-Year","12/08/2020","12/15/2020","12/15/2023","99.742950","Semi-Annual","0.125%"
"9127963V9","Bill","42-Day","12/08/2020","12/10/2020","01/21/2021","99.991833","None",""
"9127964X4","Bill","119-Day","12/08/2020","12/10/2020","04/08/2021","99.973556","None",""
"9127964M8","Bill","13-Week","12/07/2020","12/10/2020","03/11/2021","99.979778","None",""
"912796B24","Bill","26-Week","12/07/2020","12/10/2020","06/10/2021","99.954500","None",""
"912796A58","Bill","4-Week","12/03/2020","12/08/2020","01/05/2021","99.994167","None",""
"912796B65","Bill","8-Week","12/03/2020","12/08/2020","02/02/2021","99.988333","None",""
"912796C98","Bill","105-Day","12/02/2020","12/08/2020","03/23/2021","99.975208","None",""
"912796F87","Bill","154-Day","12/02/2020","12/08/2020","05/11/2021","99.961500","None",""
"9127963U1","Bill","42-Day","12/01/2020","12/03/2020","01/14/2021","99.990667","None",""
"9127964P1","Bill","119-Day","12/01/2020","12/03/2020","04/01/2021","99.970250","None",""
"9127965G0","Bill","52-Week","12/01/2020","12/03/2020","12/02/2021","99.888778","None",""
"9127964F3","Bill","13-Week","11/30/2020","12/03/2020","03/04/2021","99.978514","None",""
"912796A41","Bill","26-Week","11/30/2020","12/03/2020","06/03/2021","99.954500","None",""
"9127965F2","Bill","4-Week","11/25/2020","12/01/2020","12/29/2020","99.993778","None",""
"912796A82","Bill","8-Week","11/25/2020","12/01/2020","01/26/2021","99.987556","None",""
"912796C80","Bill","105-Day","11/25/2020","12/01/2020","03/16/2021","99.975208","None",""
"912796F79","Bill","154-Day","11/25/2020","12/01/2020","05/04/2021","99.961500","None",""
"91282CAY7","Note","7-Year","11/24/2020","11/30/2020","11/30/2027","99.808717","Semi-Annual","0.625%"
"9127963T4","Bill","41-Day","11/24/2020","11/27/2020","01/07/2021","99.991458","None",""
"9127962F5","Bill","118-Day","11/24/2020","11/27/2020","03/25/2021","99.970500","None",""
"91282CAS0","Note","1-Year 11-Month","11/24/2020","11/27/2020","10/31/2022","100.003897","Quarterly",""
"91282CAX9","Note","2-Year","11/23/2020","11/30/2020","11/30/2022","99.920165","Semi-Annual","0.125%"
"91282CAZ4","Note","5-Year","11/23/2020","11/30/2020","11/30/2025","99.891191","Semi-Annual","0.375%"
"912796XE4","Bill","13-Week","11/23/2020","11/27/2020","02/25/2021","99.978750","None",""
"912796A33","Bill","26-Week","11/23/2020","11/27/2020","05/27/2021","99.954750","None",""
"912828ZZ6","Note","9-Year 8-Month","11/19/2020","11/30/2020","07/15/2030","111.642995","Semi-Annual","0.125%"
"9127965D7","Bill","4-Week","11/19/2020","11/24/2020","12/22/2020","99.994556","None",""
"912796A74","Bill","8-Week","11/19/2020","11/24/2020","01/19/2021","99.989111","None",""
"912810ST6","Bond","20-Year","11/18/2020","11/30/2020","11/15/2040","99.185441","Semi-Annual","1.375%"
"912796C72","Bill","105-Day","11/18/2020","11/24/2020","03/09/2021","99.973750","None",""
"912796F20","Bill","154-Day","11/18/2020","11/24/2020","04/27/2021","99.961500","None",""
"912796TY5","Bill","42-Day","11/17/2020","11/19/2020","12/31/2020","99.988917","None",""
"9127964N6","Bill","119-Day","11/17/2020","11/19/2020","03/18/2021","99.968597","None",""
"9127964D8","Bill","13-Week","11/16/2020","11/19/2020","02/18/2021","99.977250","None",""
"9127962Y4","Bill","26-Week","11/16/2020","11/19/2020","05/20/2021","99.949444","None",""
"9127965C9","Bill","4-Week","11/12/2020","11/17/2020","12/15/2020","99.993389","None",""
"912796A66","Bill","8-Week","11/12/2020","11/17/2020","01/12/2021","99.986000","None",""
"912796C23","Bill","105-Day","11/12/2020","11/17/2020","03/02/2021","99.972292","None",""
"912796D97","Bill","154-Day","11/12/2020","11/17/2020","04/20/2021","99.957222","None",""
"912810SS8","Bond","30-Year","11/12/2020","11/16/2020","11/15/2050","98.708151","Semi-Annual","1.625%"
"91282CAV3","Note","10-Year","11/10/2020","11/16/2020","11/15/2030","99.191574","Semi-Annual","0.875%"
