"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"912827PT3","Note","2-Year","07/20/1983","08/01/1983","07/31/1985","","Semi-Annual","10.625%"
"912794DU5","Bill","13-Week","07/18/1983","07/21/1983","10/20/1983","","",""
"912794EL4","Bill","26-Week","07/18/1983","07/21/1983","01/19/1984","","",""
"912794DT8","Bill","13-Week","07/11/1983","07/14/1983","10/13/1983","","",""
"912794EK6","Bill","26-Week","07/11/1983","07/14/1983","01/12/1984","","",""
"912794FE9","Bill","52-Week","07/07/1983","07/14/1983","07/12/1984","","",""
"912794DD3","Bill","13-Week","07/05/1983","07/07/1983","10/06/1983","","",""
"912794EJ9","Bill","26-Week","07/05/1983","07/07/1983","01/05/1984","","",""
"912794DS0","Bill","13-Week","06/27/1983","06/30/1983","09/29/1983","","",""
"912794DG6","Bill","26-Week","06/27/1983","06/30/1983","12/29/1983","","",""
"912810DE5","Bond","20-Year 1-Month","06/23/1983","07/05/1983","08/15/2003","","Semi-Annual","11.125%"
"912827PS5","Note","7-Year","06/22/1983","07/05/1983","07/15/1990","","Semi-Annual","10.750%"
"912827PR7","Note","4-Year","06/21/1983","06/30/1983","06/30/1987","","Semi-Annual","10.500%"
"912794DR2","Bill","13-Week","06/20/1983","06/23/1983","09/22/1983","","",""
"912794EB6","Bill","26-Week","06/20/1983","06/23/1983","12/22/1983","","",""
"912827PQ9","Note","2-Year","06/15/1983","06/30/1983","06/30/1985","","Semi-Annual","10.000%"
"912794DQ4","Bill","13-Week","06/13/1983","06/16/1983","09/15/1983","","",""
"912794EA8","Bill","26-Week","06/13/1983","06/16/1983","12/15/1983","","",""
"912794EH3","Bill","52-Week","06/09/1983","06/16/1983","06/14/1984","","",""
"912794DC5","Bill","13-Week","06/06/1983","06/09/1983","09/08/1983","","",""
"912794DZ4","Bill","26-Week","06/06/1983","06/09/1983","12/08/1983","","",""
"912794DM3","Bill","73-Day","06/02/1983","06/06/1983","08/18/1983","","",""
"912794DX9","Bill","164-Day","06/02/1983","06/06/1983","11/17/1983","","",""
"912827PP1","Note","5-Year 2-Month","06/01/1983","06/03/1983","08/15/1988","","Semi-Annual","10.500%"
"912794DP6","Bill","13-Week","05/31/1983","06/02/1983","09/01/1983","","",""
"912794DF8","Bill","26-Week","05/31/1983","06/02/1983","12/01/1983","","",""
"912794CD4","Bill","15-Day","05/27/1983","06/01/1983","06/16/1983","","",""
"912827PN6","Note","2-Year","05/26/1983","05/31/1983","05/31/1985","","Semi-Annual","9.875%"
"912794DN1","Bill","13-Week","05/23/1983","05/26/1983","08/25/1983","","",""
"912794DY7","Bill","26-Week","05/23/1983","05/26/1983","11/25/1983","","",""
"912794DM3","Bill","13-Week","05/16/1983","05/19/1983","08/18/1983","","",""
"912794DX9","Bill","26-Week","05/16/1983","05/19/1983","11/17/1983","","",""
"912794EG5","Bill","52-Week","05/12/1983","05/19/1983","05/17/1984","","",""
"912794DB7","Bill","13-Week","05/09/1983","05/12/1983","08/11/1983","","",""
"912794DW1","Bill","26-Week","05/09/1983","05/12/1983","11/10/1983","","",""
"912810DB1","Bond","29-Year 6-Month","05/05/1983","05/16/1983","11/15/2012","","Semi-Annual","10.375%"
"912827PM8","Note","10-Year","05/04/1983","05/16/1983","05/15/1993","","Semi-Annual","10.125%"
"912827PL0","Note","3-Year","05/03/1983","05/16/1983","05/15/1986","","Semi-Annual","9.375%"
"912794DL5","Bill","13-Week","05/02/1983","05/05/1983","08/04/1983","","",""
"912794DE1","Bill","26-Week","05/02/1983","05/05/1983","11/03/1983","","",""
"912794DK7","Bill","13-Week","04/25/1983","04/28/1983","07/28/1983","","",""
"912794DV3","Bill","26-Week","04/25/1983","04/28/1983","10/27/1983","","",""
"912827PK2","Note","2-Year","04/20/1983","05/02/1983","04/30/1985","","Semi-Annual","9.500%"
"912794DJ0","Bill","13-Week","04/18/1983","04/21/1983","07/21/1983","","",""
"912794DU5","Bill","26-Week","04/18/1983","04/21/1983","10/20/1983","","",""
"912794EF7","Bill","52-Week","04/14/1983","04/21/1983","04/19/1984","","",""
"912794DA9","Bill","13-Week","04/11/1983","04/14/1983","07/14/1983","","",""
"912794DT8","Bill","26-Week","04/11/1983","04/14/1983","10/13/1983","","",""
"912794CB8","Bill","10-Day","04/06/1983","04/11/1983","04/21/1983","","",""
"912794DH4","Bill","13-Week","04/04/1983","04/07/1983","07/07/1983","","",""
"912794DD3","Bill","26-Week","04/04/1983","04/07/1983","10/06/1983","","",""
"912794CZ5","Bill","13-Week","03/28/1983","03/31/1983","06/30/1983","","",""
"912794DS0","Bill","26-Week","03/28/1983","03/31/1983","09/29/1983","","",""
"912810DD7","Bond","20-Year 1-Month","03/24/1983","04/04/1983","05/15/2003","","Semi-Annual","10.750%"
"912827PJ5","Note","7-Year","03/23/1983","04/04/1983","04/15/1990","","Semi-Annual","10.500%"
"912827PH9","Note","4-Year","03/22/1983","03/31/1983","03/31/1987","","Semi-Annual","10.250%"
"912794CY8","Bill","13-Week","03/21/1983","03/24/1983","06/23/1983","","",""
"912794DR2","Bill","26-Week","03/21/1983","03/24/1983","09/22/1983","","",""
"912794EE0","Bill","52-Week","03/17/1983","03/24/1983","03/22/1984","","",""
"912827PG1","Note","2-Year","03/16/1983","03/31/1983","03/31/1985","","Semi-Annual","9.625%"
"912794CD4","Bill","13-Week","03/14/1983","03/17/1983","06/16/1983","","",""
"912794DQ4","Bill","26-Week","03/14/1983","03/17/1983","09/15/1983","","",""
"912794CX0","Bill","13-Week","03/07/1983","03/10/1983","06/09/1983","","",""
"912794DC5","Bill","26-Week","03/07/1983","03/10/1983","09/08/1983","","",""
"912794CB8","Bill","45-Day","03/02/1983","03/07/1983","04/21/1983","","",""
"912794CW2","Bill","13-Week","02/28/1983","03/03/1983","06/02/1983","","",""
"912794DP6","Bill","26-Week","02/28/1983","03/03/1983","09/01/1983","","",""
