"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Interest Payment Frequency","Interest Rate"
"912796EX3","Bill","52-Week","09/16/2014","09/18/2014","09/17/2015","99.878667","None",""
"912796EK1","Bill","13-Week","09/15/2014","09/18/2014","12/18/2014","99.996208","None",""
"912796EZ8","Bill","26-Week","09/15/2014","09/18/2014","03/19/2015","99.977250","None",""
"912810RH3","Bond","29-Year 11-Month","09/11/2014","09/15/2014","08/15/2044","97.804086","Semi-Annual","3.125%"
"912828D56","Note","9-Year 11-Month","09/10/2014","09/15/2014","08/15/2024","98.602787","Semi-Annual","2.375%"
"912828D98","Note","3-Year","09/09/2014","09/15/2014","09/15/2017","99.805642","Semi-Annual","1.000%"
"912796DZ9","Bill","4-Week","09/09/2014","09/11/2014","10/09/2014","99.999611","None",""
"912796DB2","Bill","13-Week","09/08/2014","09/11/2014","12/11/2014","99.994944","None",""
"912796EY1","Bill","26-Week","09/08/2014","09/11/2014","03/12/2015","99.977250","None",""
"912796HP7","Bill","11-Day","09/03/2014","09/04/2014","09/15/2014","99.999236","None",""
"912796DX4","Bill","4-Week","09/03/2014","09/04/2014","10/02/2014","99.998833","None",""
"912796EG0","Bill","13-Week","09/02/2014","09/04/2014","12/04/2014","99.993681","None",""
"912796DP1","Bill","26-Week","09/02/2014","09/04/2014","03/05/2015","99.974722","None",""
"912828D72","Note","7-Year","08/28/2014","09/02/2014","08/31/2021","99.707997","Semi-Annual","2.000%"
"912828D80","Note","5-Year","08/27/2014","09/02/2014","08/31/2019","99.899634","Semi-Annual","1.625%"
"912828WV8","Note","1-Year 11-Month","08/27/2014","08/29/2014","07/31/2016","100.029221","Quarterly",""
"912828D64","Note","2-Year","08/26/2014","09/02/2014","08/31/2016","99.940552","Semi-Annual","0.500%"
"912796DW6","Bill","4-Week","08/26/2014","08/28/2014","09/25/2014","99.997667","None",""
"912796EF2","Bill","13-Week","08/25/2014","08/28/2014","11/28/2014","99.992333","None",""
"912796EW5","Bill","26-Week","08/25/2014","08/28/2014","02/26/2015","99.974722","None",""
"912828C99","Note","4-Year 8-Month","08/21/2014","08/29/2014","04/15/2019","103.623896","Semi-Annual","0.125%"
"912796CB3","Bill","4-Week","08/19/2014","08/21/2014","09/18/2014","99.997278","None",""
"912796ET2","Bill","52-Week","08/19/2014","08/21/2014","08/20/2015","99.893833","None",""
"912796EE5","Bill","13-Week","08/18/2014","08/21/2014","11/20/2014","99.992417","None",""
"912796EV7","Bill","26-Week","08/18/2014","08/21/2014","02/19/2015","99.974722","None",""
"912810RH3","Bond","30-Year","08/14/2014","08/15/2014","08/15/2044","98.105640","Semi-Annual","3.125%"
"912828D56","Note","10-Year","08/13/2014","08/15/2014","08/15/2024","99.435107","Semi-Annual","2.375%"
"912828D49","Note","3-Year","08/12/2014","08/15/2014","08/15/2017","99.855348","Semi-Annual","0.875%"
"912796DV8","Bill","4-Week","08/12/2014","08/14/2014","09/11/2014","99.996889","None",""
"912796CL1","Bill","13-Week","08/11/2014","08/14/2014","11/13/2014","99.992417","None",""
"912796EU9","Bill","26-Week","08/11/2014","08/14/2014","02/12/2015","99.974722","None",""
"912796DS5","Bill","4-Week","08/05/2014","08/07/2014","09/04/2014","99.998444","None",""
"912796ED7","Bill","13-Week","08/04/2014","08/07/2014","11/06/2014","99.993681","None",""
"912796DG1","Bill","26-Week","08/04/2014","08/07/2014","02/05/2015","99.974722","None",""
"912828WV8","Note","2-Year","07/30/2014","07/31/2014","07/31/2016","100.000000","Quarterly",""
"912828WY2","Note","7-Year","07/30/2014","07/31/2014","07/31/2021","100.000000","Semi-Annual","2.250%"
"912796DR7","Bill","4-Week","07/29/2014","07/31/2014","08/28/2014","99.997667","None",""
"912828WW6","Note","5-Year","07/29/2014","07/31/2014","07/31/2019","99.546716","Semi-Annual","1.625%"
"912796EB1","Bill","13-Week","07/28/2014","07/31/2014","10/30/2014","99.992417","None",""
"912796ER6","Bill","26-Week","07/28/2014","07/31/2014","01/29/2015","99.972194","None",""
"912828WX4","Note","2-Year","07/28/2014","07/31/2014","07/31/2016","99.912595","Semi-Annual","0.500%"
"912828WU0","Note","10-Year","07/24/2014","07/31/2014","07/15/2024","98.959115","Semi-Annual","0.125%"
"912796BX6","Bill","4-Week","07/22/2014","07/24/2014","08/21/2014","99.998056","None",""
"912796EN5","Bill","52-Week","07/22/2014","07/24/2014","07/23/2015","99.888778","None",""
"912796EA3","Bill","13-Week","07/21/2014","07/24/2014","10/23/2014","99.993681","None",""
"912796EQ8","Bill","26-Week","07/21/2014","07/24/2014","01/22/2015","99.972194","None",""
"912796DQ9","Bill","4-Week","07/15/2014","07/17/2014","08/14/2014","99.998444","None",""
"912796CF4","Bill","13-Week","07/14/2014","07/17/2014","10/16/2014","99.993681","None",""
"912796EP0","Bill","26-Week","07/14/2014","07/17/2014","01/15/2015","99.969667","None",""
"912810RG5","Bond","29-Year 10-Month","07/10/2014","07/15/2014","05/15/2044","100.106136","Semi-Annual","3.375%"
"912828WJ5","Note","9-Year 10-Month","07/09/2014","07/15/2014","05/15/2024","99.159293","Semi-Annual","2.500%"
"912828WT3","Note","3-Year","07/08/2014","07/15/2014","07/15/2017","99.655014","Semi-Annual","0.875%"
"912796DL0","Bill","4-Week","07/08/2014","07/10/2014","08/07/2014","99.998444","None",""
"912796DZ9","Bill","13-Week","07/07/2014","07/10/2014","10/09/2014","99.992417","None",""
"912796DF3","Bill","26-Week","07/07/2014","07/10/2014","01/08/2015","99.969667","None",""
"912796DK2","Bill","4-Week","07/01/2014","07/03/2014","07/31/2014","99.998056","None",""
"912796DX4","Bill","13-Week","06/30/2014","07/03/2014","10/02/2014","99.989889","None",""
"912796EM7","Bill","26-Week","06/30/2014","07/03/2014","01/02/2015","99.966958","None",""
"912828WR7","Note","7-Year","06/26/2014","06/30/2014","06/30/2021","99.825416","Semi-Annual","2.125%"
"912828WS5","Note","5-Year","06/25/2014","06/30/2014","06/30/2019","99.784997","Semi-Annual","1.625%"
"912828D31","Note","1-Year 10-Month","06/25/2014","06/27/2014","04/30/2016","99.999999","Quarterly",""
"912828WQ9","Note","2-Year","06/24/2014","06/30/2014","06/30/2016","99.978140","Semi-Annual","0.500%"
"912796BT5","Bill","4-Week","06/24/2014","06/26/2014","07/24/2014","99.999222","None",""
"912796EJ4","Bill","52-Week","06/24/2014","06/26/2014","06/25/2015","99.888778","None",""
"912796DW6","Bill","13-Week","06/23/2014","06/26/2014","09/25/2014","99.993681","None",""
"912796EL9","Bill","26-Week","06/23/2014","06/26/2014","12/26/2014","99.974583","None",""
"912810RF7","Bond","29-Year 8-Month","06/19/2014","06/30/2014","02/15/2044","108.340341","Semi-Annual","1.375%"
"912796DJ5","Bill","4-Week","06/17/2014","06/19/2014","07/17/2014","99.997667","None",""
"912796CB3","Bill","13-Week","06/16/2014","06/19/2014","09/18/2014","99.991153","None",""
"912796EK1","Bill","26-Week","06/16/2014","06/19/2014","12/18/2014","99.964611","None",""
"912810RG5","Bond","29-Year 11-Month","06/12/2014","06/16/2014","05/15/2044","98.713795","Semi-Annual","3.375%"
"912828WJ5","Note","9-Year 11-Month","06/11/2014","06/16/2014","05/15/2024","98.714636","Semi-Annual","2.500%"
"912828WP1","Note","3-Year","06/10/2014","06/16/2014","06/15/2017","99.837787","Semi-Annual","0.875%"
"912796DH9","Bill","4-Week","06/10/2014","06/12/2014","07/10/2014","99.997667","None",""
"912796DV8","Bill","13-Week","06/09/2014","06/12/2014","09/11/2014","99.991153","None",""
"912796DB2","Bill","26-Week","06/09/2014","06/12/2014","12/11/2014","99.969667","None",""
"912796DD8","Bill","14-Day","06/03/2014","06/05/2014","06/19/2014","99.998056","None",""
"912796DE6","Bill","4-Week","06/03/2014","06/05/2014","07/03/2014","99.997278","None",""
"912796DS5","Bill","13-Week","06/02/2014","06/05/2014","09/04/2014","99.991153","None",""
"912796EG0","Bill","26-Week","06/02/2014","06/05/2014","12/04/2014","99.972194","None",""
"912828WN6","Note","7-Year","05/29/2014","06/02/2014","05/31/2021","99.934945","Semi-Annual","2.000%"
"912828WL0","Note","5-Year","05/28/2014","06/02/2014","05/31/2019","99.937629","Semi-Annual","1.500%"
"912828D31","Note","1-Year 11-Month","05/28/2014","05/30/2014","04/30/2016","100.011671","Quarterly",""
"912796BP3","Bill","4-Week","05/28/2014","05/29/2014","06/26/2014","99.996889","None",""
"912796EC9","Bill","52-Week","05/28/2014","05/29/2014","05/28/2015","99.903944","None",""
"912828WM8","Note","2-Year","05/27/2014","06/02/2014","05/31/2016","99.966254","Semi-Annual","0.375%"
"912796DR7","Bill","13-Week","05/27/2014","05/29/2014","08/28/2014","99.992417","None",""
"912796EF2","Bill","26-Week","05/27/2014","05/29/2014","11/28/2014","99.974583","None",""
"912828B25","Note","9-Year 8-Month","05/22/2014","05/30/2014","01/15/2024","103.967802","Semi-Annual","0.625%"
"912796DD8","Bill","4-Week","05/20/2014","05/22/2014","06/19/2014","99.997667","None",""
"912796BX6","Bill","13-Week","05/19/2014","05/22/2014","08/21/2014","99.993681","None",""
"912796EE5","Bill","26-Week","05/19/2014","05/22/2014","11/20/2014","99.974722","None",""
"912796DC0","Bill","4-Week","05/13/2014","05/15/2014","06/12/2014","99.998056","None",""
"912796DQ9","Bill","13-Week","05/12/2014","05/15/2014","08/14/2014","99.993681","None",""
"912796CL1","Bill","26-Week","05/12/2014","05/15/2014","11/13/2014","99.974722","None",""
"912810RG5","Bond","30-Year","05/08/2014","05/15/2014","05/15/2044","98.789628","Semi-Annual","3.375%"
"912828WJ5","Note","10-Year","05/07/2014","05/15/2014","05/15/2024","99.019915","Semi-Annual","2.500%"
"912828WH9","Note","3-Year","05/06/2014","05/15/2014","05/15/2017","99.843551","Semi-Annual","0.875%"
"912796DA4","Bill","4-Week","05/06/2014","05/08/2014","06/05/2014","99.998056","None",""
"912796DL0","Bill","13-Week","05/05/2014","05/08/2014","08/07/2014","99.993681","None",""
"912796ED7","Bill","26-Week","05/05/2014","05/08/2014","11/06/2014","99.977250","None",""
"912796BJ7","Bill","4-Week","04/29/2014","05/01/2014","05/29/2014","99.999222","None",""
"912796DY2","Bill","52-Week","04/29/2014","05/01/2014","04/30/2015","99.893833","None",""
"912828D31","Note","2-Year","04/29/2014","04/30/2014","04/30/2016","100.000000","Quarterly",""
"912796DK2","Bill","13-Week","04/28/2014","05/01/2014","07/31/2014","99.994944","None",""
"912796EB1","Bill","26-Week","04/28/2014","05/01/2014","10/30/2014","99.977250","None",""
"912828WG1","Note","7-Year","04/24/2014","04/30/2014","04/30/2021","99.569351","Semi-Annual","2.250%"
"912828D23","Note","5-Year","04/23/2014","04/30/2014","04/30/2019","99.489624","Semi-Annual","1.625%"
"912828C81","Note","2-Year","04/22/2014","04/30/2014","04/30/2016","99.856801","Semi-Annual","0.375%"
"912796CZ0","Bill","4-Week","04/22/2014","04/24/2014","05/22/2014","99.998833","None",""
"912796BT5","Bill","13-Week","04/21/2014","04/24/2014","07/24/2014","99.992417","None",""
"912796EA3","Bill","26-Week","04/21/2014","04/24/2014","10/23/2014","99.974722","None",""
"912828C99","Note","5-Year","04/17/2014","04/30/2014","04/15/2019","101.874051","Semi-Annual","0.125%"
"912796CM9","Bill","4-Week","04/15/2014","04/17/2014","05/15/2014","99.998056","None",""
"912796DJ5","Bill","13-Week","04/14/2014","04/17/2014","07/17/2014","99.991153","None",""
"912796CF4","Bill","26-Week","04/14/2014","04/17/2014","10/16/2014","99.974722","None",""
"912810RE0","Bond","29-Year 10-Month","04/10/2014","04/15/2014","02/15/2044","101.829866","Semi-Annual","3.625%"
"912828B66","Note","9-Year 10-Month","04/09/2014","04/15/2014","02/15/2024","100.253350","Semi-Annual","2.750%"
"912828C73","Note","3-Year","04/08/2014","04/15/2014","04/15/2017","99.940929","Semi-Annual","0.875%"
"912796CK3","Bill","4-Week","04/08/2014","04/10/2014","05/08/2014","99.998056","None",""
